subject,topic,accuracy,mean_response_seconds,attempts
Computer Networks,DHCP,0.45714285714285713,96.584,35
Computer Networks,DNS,0.5777777777777777,52.32555555555556,45
Computer Networks,HTTP,0.6222222222222222,56.388444444444445,45
Computer Networks,IP Addressing,0.4594594594594595,107.51594594594594,37
Computer Networks,Network Security,0.5,107.73382352941178,34
Computer Networks,OSI,0.2727272727272727,111.19909090909091,33
Computer Networks,Routing,0.5625,126.49875,32
Computer Networks,TCP,0.4117647058823529,106.22588235294117,34
Computer Networks,TCP/IP,0.20512820512820512,105.91871794871794,39
Computer Networks,UDP,0.696969696969697,51.947272727272725,33
DBMS,Concurrency Control,0.36666666666666664,116.50766666666667,30
DBMS,DBMS Basics,0.5961538461538461,59.538269230769224,52
DBMS,ER Model,0.625,52.59275,40
DBMS,Indexing,0.35,105.824,40
DBMS,Joins,0.4878048780487805,99.18268292682926,41
DBMS,Keys,0.5714285714285714,52.11619047619048,21
DBMS,Normalization,0.43243243243243246,111.35999999999999,37
DBMS,Relational Algebra,0.5128205128205128,98.59102564102565,39
DBMS,SQL,0.7222222222222222,54.779444444444444,36
DBMS,Transactions,0.4358974358974359,99.10153846153847,39
DSA,Arrays,0.725,54.064499999999995,40
DSA,Dynamic Programming,0.41935483870967744,113.09806451612903,31
DSA,Graphs,0.5,96.79941176470588,34
DSA,Hashing,0.34285714285714286,118.97142857142858,35
DSA,Heap,0.4117647058823529,101.05941176470587,51
DSA,Linked Lists,0.5714285714285714,123.35666666666668,21
DSA,Recursion,0.38235294117647056,103.67529411764706,34
DSA,Stack & Queue,0.7894736842105263,53.8871052631579,38
DSA,Strings,0.75,54.7795,40
DSA,Trees,0.27906976744186046,111.88186046511628,43
Operating Systems,CPU Scheduling,0.3870967741935484,98.1774193548387,31
Operating Systems,Deadlocks,0.5151515151515151,107.29757575757576,33
Operating Systems,File Systems,0.6774193548387096,53.976451612903226,31
Operating Systems,I/O Management,0.38461538461538464,101.79205128205128,39
Operating Systems,Memory Management,0.41025641025641024,100.11974358974359,39
Operating Systems,Paging,0.48148148148148145,101.97925925925927,27
Operating Systems,Processes,0.6896551724137931,57.001379310344824,29
Operating Systems,Security,0.4146341463414634,131.89682926829266,41
Operating Systems,Synchronization,0.42,115.318,50
Operating Systems,Threads,0.5405405405405406,94.00486486486486,37
Software Engineering,Agile,0.696969696969697,57.42848484848484,33
Software Engineering,Design Patterns,0.3142857142857143,123.63171428571428,35
Software Engineering,Git/Version Control,0.6333333333333333,55.939,30
Software Engineering,Project Management,0.47368421052631576,93.50236842105264,38
Software Engineering,SDLC,0.6428571428571429,61.78321428571429,28
Software Engineering,SRS,0.4482758620689655,97.10655172413793,29
Software Engineering,Software Quality,0.5,98.33411764705883,34
Software Engineering,Testing,0.5,99.47815789473684,38
Software Engineering,UML,0.48484848484848486,99.52757575757575,33
Software Engineering,Waterfall,0.4444444444444444,104.88361111111111,36
