student_id,question_id,subject,topic,difficulty,is_correct,time_taken_seconds,attempt_number,timestamp,session_id,is_synthetic,data_label
S00001,Q0102A,DSA,Strings,Easy,1,63.33,1,2025-01-02T19:32:22.529477,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0302S,Operating Systems,CPU Scheduling,Medium,0,81.93,2,2025-01-03T13:18:34.475908,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0101A,DSA,Arrays,Easy,1,29.55,3,2025-01-05T01:23:20.437607,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0309C,Operating Systems,I/O Management,Hard,0,237.46,4,2025-01-05T08:48:13.758700,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0208A,DBMS,ER Model,Easy,1,66.08,5,2025-01-05T15:58:29.244765,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0208B,DBMS,ER Model,Medium,1,61.48,6,2025-01-06T15:33:16.791239,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0104B,DSA,Stack & Queue,Medium,1,74.34,7,2025-01-06T21:27:02.643182,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0207S,DBMS,Indexing,Medium,1,61.78,8,2025-01-07T16:22:43.897244,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0308C,Operating Systems,Threads,Hard,0,127.6,9,2025-01-07T19:49:24.548603,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0301B,Operating Systems,Processes,Medium,0,141.74,10,2025-01-08T03:07:03.618172,S00001_SESSION_001,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0305C,Operating Systems,Paging,Hard,0,142.44,11,2025-01-09T06:09:50.457917,S00001_SESSION_002,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0310B,Operating Systems,Security,Medium,1,76.0,12,2025-01-10T14:03:19.040406,S00001_SESSION_002,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0306B,Operating Systems,Synchronization,Medium,1,28.13,13,2025-01-11T00:55:07.924466,S00001_SESSION_002,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0402A,Computer Networks,TCP/IP,Easy,0,36.74,14,2025-01-12T05:22:13.741300,S00001_SESSION_002,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0407A,Computer Networks,DHCP,Easy,0,44.97,15,2025-01-12T15:26:13.192384,S00001_SESSION_002,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0201B,DBMS,DBMS Basics,Medium,1,48.99,16,2025-01-13T10:19:11.037939,S00001_SESSION_002,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0401C,Computer Networks,OSI,Hard,0,123.88,17,2025-01-14T22:41:26.118633,S00001_SESSION_002,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0309B,Operating Systems,I/O Management,Medium,0,72.53,18,2025-01-16T09:40:35.475815,S00001_SESSION_002,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,Q0306B,Operating Systems,Synchronization,Medium,0,82.74,19,2025-01-16T17:44:29.266559,S00001_SESSION_002,True,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
