student_id,subject,topic,attempt_number,timestamp,synthetic_true_mastery,synthetic_mastered_label
S00001,DSA,Strings,1,2025-01-02T19:32:22.529477,0.492552,0
S00001,Operating Systems,CPU Scheduling,2,2025-01-03T13:18:34.475908,0.589923,0
S00001,DSA,Arrays,3,2025-01-05T01:23:20.437607,0.832877,1
S00001,Operating Systems,I/O Management,4,2025-01-05T08:48:13.758700,0.430583,0
S00001,DBMS,ER Model,5,2025-01-05T15:58:29.244765,0.696815,0
S00001,DBMS,ER Model,6,2025-01-06T15:33:16.791239,0.706332,1
S00001,DSA,Stack & Queue,7,2025-01-06T21:27:02.643182,0.73867,1
S00001,DBMS,Indexing,8,2025-01-07T16:22:43.897244,0.756992,1
S00001,Operating Systems,Threads,9,2025-01-07T19:49:24.548603,0.465263,0
S00001,Operating Systems,Processes,10,2025-01-08T03:07:03.618172,0.489587,0
S00001,Operating Systems,Paging,11,2025-01-09T06:09:50.457917,0.576607,0
S00001,Operating Systems,Security,12,2025-01-10T14:03:19.040406,0.612911,0
S00001,Operating Systems,Synchronization,13,2025-01-11T00:55:07.924466,0.78938,1
S00001,Computer Networks,TCP/IP,14,2025-01-12T05:22:13.741300,0.674689,0
S00001,Computer Networks,DHCP,15,2025-01-12T15:26:13.192384,0.692644,0
S00001,DBMS,DBMS Basics,16,2025-01-13T10:19:11.037939,0.834476,1
S00001,Computer Networks,OSI,17,2025-01-14T22:41:26.118633,0.759701,1
S00001,Operating Systems,I/O Management,18,2025-01-16T09:40:35.475815,0.432769,0
S00001,Operating Systems,Synchronization,19,2025-01-16T17:44:29.266559,0.789717,1
S00001,DSA,Recursion,20,2025-01-17T13:57:43.035280,0.677244,0
S00001,Computer Networks,OSI,21,2025-01-18T00:20:34.202465,0.762961,1
S00001,Computer Networks,Network Security,22,2025-01-19T01:58:10.561489,0.797686,1
S00001,Operating Systems,Memory Management,23,2025-01-20T15:03:02.576755,0.579895,0
S00001,Software Engineering,Design Patterns,24,2025-01-21T01:06:31.233537,0.701919,1
S00001,DSA,Heap,25,2025-01-21T08:09:32.834394,0.813752,1
S00001,DBMS,SQL,26,2025-01-22T14:37:31.729659,0.821339,1
S00001,Operating Systems,CPU Scheduling,27,2025-01-23T04:05:57.008672,0.602031,0
S00001,DBMS,Indexing,28,2025-01-24T01:32:18.938117,0.767017,1
S00001,DSA,Recursion,29,2025-01-24T04:38:55.857365,0.685361,0
S00001,Software Engineering,SRS,30,2025-01-25T01:06:25.260287,0.776398,1
S00001,DSA,Arrays,31,2025-01-25T19:36:29.248820,0.839401,1
S00001,DSA,Hashing,32,2025-01-26T02:46:42.420025,0.819151,1
S00001,DSA,Stack & Queue,33,2025-01-27T13:38:42.281334,0.737926,1
S00001,DSA,Trees,34,2025-01-27T18:19:54.405451,0.720072,1
S00001,DBMS,ER Model,35,2025-01-28T09:30:51.805090,0.710311,1
S00001,DSA,Strings,36,2025-01-29T06:58:03.702913,0.505413,0
S00001,Operating Systems,Synchronization,37,2025-01-30T06:33:42.947789,0.7978,1
S00001,Operating Systems,Security,38,2025-01-30T14:09:23.368346,0.626854,0
S00001,DBMS,DBMS Basics,39,2025-02-01T01:41:49.689989,0.833949,1
S00001,Operating Systems,Processes,40,2025-02-01T14:44:13.176486,0.50829,0
S00001,Computer Networks,Network Security,41,2025-02-02T02:17:02.393646,0.804209,1
S00001,Computer Networks,DNS,42,2025-02-02T22:24:23.370083,0.867741,1
S00001,Computer Networks,Routing,43,2025-02-03T10:14:46.753994,0.786354,1
S00001,Software Engineering,Design Patterns,44,2025-02-04T13:51:36.222375,0.703666,1
S00001,Computer Networks,DNS,45,2025-02-05T15:11:45.988940,0.867728,1
S00001,Operating Systems,Threads,46,2025-02-06T02:39:10.029000,0.482353,0
S00001,Operating Systems,I/O Management,47,2025-02-06T22:37:21.039044,0.438481,0
S00001,Computer Networks,OSI,48,2025-02-07T09:02:46.003457,0.770143,1
S00001,DSA,Strings,49,2025-02-07T12:07:25.786087,0.509677,0
S00001,DSA,Recursion,50,2025-02-08T11:47:23.454952,0.693718,0
S00001,Computer Networks,UDP,51,2025-02-09T16:16:14.495400,0.856521,1
S00001,Software Engineering,UML,52,2025-02-11T03:13:06.875333,0.556494,0
S00001,Computer Networks,DNS,53,2025-02-12T02:55:45.107589,0.873801,1
S00001,Operating Systems,I/O Management,54,2025-02-12T12:19:31.007755,0.456416,0
S00001,DBMS,Transactions,55,2025-02-13T19:25:00.658829,0.77041,1
S00001,Operating Systems,Threads,56,2025-02-15T08:51:29.629749,0.49831,0
S00001,DBMS,Joins,57,2025-02-16T22:02:21.718283,0.881736,1
S00001,Software Engineering,Waterfall,58,2025-02-17T02:08:36.905825,0.742252,1
S00001,Operating Systems,Memory Management,59,2025-02-18T11:49:32.891224,0.592852,0
S00001,Software Engineering,Waterfall,60,2025-02-19T15:24:46.244952,0.751111,1
S00002,DBMS,Indexing,1,2025-01-03T02:51:40.851051,0.130072,0
S00002,Operating Systems,Synchronization,2,2025-01-03T06:06:32.117444,0.10385,0
S00002,Operating Systems,File Systems,3,2025-01-04T00:56:01.317481,0.167898,0
S00002,Software Engineering,Project Management,4,2025-01-04T06:20:17.487203,0.276055,0
S00002,Computer Networks,Network Security,5,2025-01-04T09:38:45.371144,0.104869,0
S00002,Computer Networks,TCP/IP,6,2025-01-04T16:57:40.390132,0.058635,0
S00002,DSA,Stack & Queue,7,2025-01-05T02:58:01.426928,0.451391,0
S00002,Operating Systems,Synchronization,8,2025-01-05T08:15:35.463660,0.108598,0
S00002,DBMS,Indexing,9,2025-01-06T04:11:34.764342,0.156912,0
S00002,DBMS,Transactions,10,2025-01-06T07:56:14.491220,0.059211,0
S00002,Operating Systems,CPU Scheduling,11,2025-01-06T20:44:48.650198,0.061987,0
S00002,Operating Systems,Paging,12,2025-01-07T14:27:47.458202,0.077786,0
S00002,Software Engineering,SDLC,13,2025-01-08T06:08:57.391836,0.214155,0
S00002,Computer Networks,UDP,14,2025-01-08T09:56:01.947004,0.057091,0
S00002,Software Engineering,Testing,15,2025-01-09T05:07:36.779932,0.44415,0
S00002,Computer Networks,IP Addressing,16,2025-01-09T12:37:56.929918,0.116487,0
S00002,DBMS,Joins,17,2025-01-10T20:47:27.541098,0.189319,0
S00002,Operating Systems,Threads,18,2025-01-11T02:38:59.053992,0.185856,0
S00002,DSA,Recursion,19,2025-01-12T00:46:23.165354,0.450179,0
S00002,Software Engineering,Software Quality,20,2025-01-13T02:31:20.764689,0.37069,0
S00002,DSA,Dynamic Programming,21,2025-01-13T16:49:47.378605,0.359431,0
S00002,DBMS,Normalization,22,2025-01-15T02:17:54.712363,0.101689,0
S00002,DSA,Trees,23,2025-01-15T14:54:42.671316,0.458084,0
S00002,Operating Systems,Deadlocks,24,2025-01-16T11:55:03.015292,0.057664,0
S00002,DBMS,Concurrency Control,25,2025-01-17T20:37:02.188246,0.141198,0
S00002,DBMS,DBMS Basics,26,2025-01-18T11:14:21.761371,0.059072,0
S00002,Operating Systems,I/O Management,27,2025-01-19T03:01:25.056097,0.18506,0
S00002,Operating Systems,Memory Management,28,2025-01-19T17:17:47.331586,0.166955,0
S00002,Computer Networks,HTTP,29,2025-01-20T03:15:39.111997,0.192132,0
S00002,Software Engineering,Design Patterns,30,2025-01-20T08:26:40.892453,0.154466,0
S00002,Operating Systems,I/O Management,31,2025-01-21T21:57:37.021057,0.190241,0
S00002,DBMS,Indexing,32,2025-01-22T20:18:13.268398,0.162573,0
S00002,Operating Systems,Deadlocks,33,2025-01-23T01:37:18.779258,0.085811,0
S00002,Software Engineering,Testing,34,2025-01-24T02:29:37.475195,0.448018,0
S00002,Software Engineering,SDLC,35,2025-01-24T19:20:44.492417,0.233497,0
S00002,Software Engineering,Agile,36,2025-01-26T00:01:30.091149,0.328246,0
S00002,Software Engineering,Waterfall,37,2025-01-26T19:46:53.571739,0.217148,0
S00002,Software Engineering,Project Management,38,2025-01-27T18:31:18.050090,0.285922,0
S00002,DBMS,DBMS Basics,39,2025-01-28T20:21:06.396326,0.084975,0
S00002,Computer Networks,TCP/IP,40,2025-01-30T00:44:47.247465,0.066139,0
S00002,DBMS,Joins,41,2025-01-30T13:07:51.765727,0.198595,0
S00002,Operating Systems,Paging,42,2025-02-01T00:29:36.090386,0.081809,0
S00002,Operating Systems,Synchronization,43,2025-02-01T04:35:33.039305,0.135086,0
S00002,DBMS,Relational Algebra,44,2025-02-02T13:22:33.829669,0.054803,0
S00002,Software Engineering,Design Patterns,45,2025-02-03T12:20:18.437984,0.182532,0
S00002,Operating Systems,Security,46,2025-02-04T04:06:29.798849,0.093535,0
S00002,DBMS,ER Model,47,2025-02-05T12:30:07.752964,0.160683,0
S00002,Operating Systems,CPU Scheduling,48,2025-02-06T22:04:45.332162,0.068214,0
S00002,Operating Systems,Deadlocks,49,2025-02-07T04:31:21.437617,0.092867,0
S00002,DSA,Heap,50,2025-02-08T03:44:29.918171,0.467256,0
S00002,DSA,Linked Lists,51,2025-02-08T18:53:00.949040,0.386173,0
S00002,Computer Networks,TCP,52,2025-02-10T07:11:31.998319,0.076222,0
S00002,Operating Systems,File Systems,53,2025-02-10T20:06:47.323972,0.191552,0
S00002,Computer Networks,DNS,54,2025-02-12T00:47:05.054334,0.060596,0
S00002,Software Engineering,Agile,55,2025-02-13T11:51:22.009642,0.335359,0
S00002,Operating Systems,Synchronization,56,2025-02-14T01:03:39.209265,0.141364,0
S00002,Software Engineering,Design Patterns,57,2025-02-15T03:19:43.320984,0.186108,0
S00002,DBMS,Indexing,58,2025-02-15T13:01:49.273478,0.167764,0
S00002,Operating Systems,Threads,59,2025-02-15T16:49:38.244712,0.215425,0
S00002,Software Engineering,Project Management,60,2025-02-16T09:55:35.669903,0.293353,0
S00003,Software Engineering,UML,1,2025-01-03T07:48:19.887217,0.604592,0
S00003,DBMS,SQL,2,2025-01-03T21:18:06.196993,0.417132,0
S00003,DBMS,Indexing,3,2025-01-04T10:49:17.109585,0.283801,0
S00003,Computer Networks,TCP/IP,4,2025-01-05T03:16:25.350405,0.535989,0
S00003,Software Engineering,Testing,5,2025-01-05T07:57:23.343628,0.36943,0
S00003,Software Engineering,UML,6,2025-01-06T08:04:20.689702,0.618944,0
S00003,Computer Networks,IP Addressing,7,2025-01-06T19:26:08.043109,0.775848,1
S00003,Software Engineering,Git/Version Control,8,2025-01-07T03:10:35.006279,0.522066,0
S00003,Computer Networks,TCP,9,2025-01-08T01:07:21.017276,0.455645,0
S00003,Operating Systems,CPU Scheduling,10,2025-01-08T07:10:23.089474,0.980991,1
S00003,Operating Systems,Deadlocks,11,2025-01-09T16:39:58.383079,0.832234,1
S00003,Operating Systems,File Systems,12,2025-01-09T21:26:10.734290,0.902214,1
S00003,Software Engineering,Testing,13,2025-01-10T00:40:12.826908,0.371043,0
S00003,DBMS,DBMS Basics,14,2025-01-11T05:37:04.973721,0.368753,0
S00003,Operating Systems,Threads,15,2025-01-12T17:03:53.220152,0.882229,1
S00003,DBMS,Indexing,16,2025-01-12T20:43:28.711155,0.289772,0
S00003,Computer Networks,HTTP,17,2025-01-13T18:33:37.145981,0.872501,1
S00003,DBMS,ER Model,18,2025-01-14T20:20:41.458863,0.335871,0
S00003,Computer Networks,IP Addressing,19,2025-01-15T20:54:41.722528,0.784425,1
S00003,DSA,Trees,20,2025-01-16T13:35:04.788231,0.705292,1
S00003,DBMS,SQL,21,2025-01-16T20:13:30.297967,0.42161,0
S00003,Software Engineering,Design Patterns,22,2025-01-18T00:48:46.290827,0.412711,0
S00003,Computer Networks,OSI,23,2025-01-19T11:45:22.484105,0.641096,0
S00003,DBMS,Concurrency Control,24,2025-01-20T05:02:55.551558,0.552909,0
S00003,Software Engineering,UML,25,2025-01-21T05:56:11.484910,0.624472,0
S00003,DSA,Arrays,26,2025-01-22T03:52:41.991333,0.671611,0
S00003,Software Engineering,Design Patterns,27,2025-01-23T07:54:25.759478,0.415977,0
S00003,Computer Networks,UDP,28,2025-01-23T11:33:44.738517,0.613479,0
S00003,Computer Networks,HTTP,29,2025-01-24T00:29:29.602821,0.875291,1
S00003,DSA,Heap,30,2025-01-25T13:18:26.716331,0.715995,1
S00003,Computer Networks,DHCP,31,2025-01-26T01:40:51.192939,0.680957,0
S00003,DBMS,Joins,32,2025-01-27T14:31:23.956167,0.525769,0
S00003,DBMS,ER Model,33,2025-01-29T02:59:48.814653,0.341633,0
S00003,Operating Systems,Deadlocks,34,2025-01-30T13:21:43.171858,0.83441,1
