student_id,timestamp,attempt_number,subject,topic,difficulty,prior_attempts,overall_accuracy,subject_accuracy,topic_prior_attempts,topic_accuracy,recent_accuracy_5,recent_accuracy_10,topic_avg_response_time,topic_response_time_std,difficulty_accuracy,previous_correct,improvement_trend,hours_since_topic_attempt,mastered_label,synthetic_true_mastery,data_label
S00001,2025-01-02T19:32:22.529477+00:00,1,DSA,Strings,Easy,0.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,0,0.492552,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-03T13:18:34.475908+00:00,2,Operating Systems,CPU Scheduling,Medium,1.0,1.0,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,0,0.589923,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-05T01:23:20.437607+00:00,3,DSA,Arrays,Easy,2.0,0.5,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,1,0.832877,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-05T08:48:13.758700+00:00,4,Operating Systems,I/O Management,Hard,3.0,0.6666666666666666,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,0,0.430583,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-05T15:58:29.244765+00:00,5,DBMS,ER Model,Easy,4.0,0.5,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,0,0.696815,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-06T15:33:16.791239+00:00,6,DBMS,ER Model,Medium,5.0,0.6,1.0,1.0,1.0,1.0,1.0,66.08,0.0,0.5,1.0,0.0,23.579874020555557,1,0.706332,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-06T21:27:02.643182+00:00,7,DSA,Stack & Queue,Medium,6.0,0.6666666666666666,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,1,0.73867,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-07T16:22:43.897244+00:00,8,DBMS,Indexing,Medium,7.0,0.7142857142857143,1.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,1,0.756992,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-07T19:49:24.548603+00:00,9,Operating Systems,Threads,Hard,8.0,0.75,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,0,0.465263,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-08T03:07:03.618172+00:00,10,Operating Systems,Processes,Medium,9.0,0.6666666666666666,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,0,0.489587,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-09T06:09:50.457917+00:00,11,Operating Systems,Paging,Hard,10.0,0.6,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,0,0.576607,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-10T14:03:19.040406+00:00,12,Operating Systems,Security,Medium,11.0,0.5454545454545454,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,0,0.612911,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-11T00:55:07.924466+00:00,13,Operating Systems,Synchronization,Medium,12.0,0.5833333333333334,0.16666666666666666,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,1,0.78938,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
S00001,2025-01-12T05:22:13.741300+00:00,14,Computer Networks,TCP/IP,Easy,13.0,0.6153846153846154,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,0.5,0.0,168.0,0,0.674689,SYNTHETIC / SIMULATED — NOT REAL STUDENT DATA
